shoe_name,shoe_type,shoe_color,shoe_price,shoe_size,shoe_link
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 8 / W 9.5,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 8.5 / W 10,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 9 / W 10.5,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 9.5 / W 11,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 10 / W 11.5,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 10.5 / W 12,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 11 / W 12.5,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 11.5 / W 13,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 12 / W 13.5,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 12.5 / W 14,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 13 / W 14.5,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 14 / W 15.5,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 15 / W 16.5,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 16 / W 17.5,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 17 / W 18.5,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
Nike Downshifter 9,Women's Running Shoe,Shown: Cool Grey/Wolf Grey/Black/Metallic Silver,$44.97 ,5,https://www.nike.com/t/downshifter-9-womens-running-shoe-NJV8Bd/AQ7486-004
Nike Downshifter 9,Women's Running Shoe,Shown: Cool Grey/Wolf Grey/Black/Metallic Silver,$44.97 ,5.5,https://www.nike.com/t/downshifter-9-womens-running-shoe-NJV8Bd/AQ7486-004
Nike Downshifter 9,Women's Running Shoe,Shown: Cool Grey/Wolf Grey/Black/Metallic Silver,$44.97 ,6,https://www.nike.com/t/downshifter-9-womens-running-shoe-NJV8Bd/AQ7486-004
Nike Downshifter 9,Women's Running Shoe,Shown: Cool Grey/Wolf Grey/Black/Metallic Silver,$44.97 ,6.5,https://www.nike.com/t/downshifter-9-womens-running-shoe-NJV8Bd/AQ7486-004
Nike Downshifter 9,Women's Running Shoe,Shown: Cool Grey/Wolf Grey/Black/Metallic Silver,$44.97 ,7,https://www.nike.com/t/downshifter-9-womens-running-shoe-NJV8Bd/AQ7486-004
Nike Downshifter 9,Women's Running Shoe,Shown: Cool Grey/Wolf Grey/Black/Metallic Silver,$44.97 ,7.5,https://www.nike.com/t/downshifter-9-womens-running-shoe-NJV8Bd/AQ7486-004
Nike Downshifter 9,Women's Running Shoe,Shown: Cool Grey/Wolf Grey/Black/Metallic Silver,$44.97 ,8,https://www.nike.com/t/downshifter-9-womens-running-shoe-NJV8Bd/AQ7486-004
Nike Downshifter 9,Women's Running Shoe,Shown: Cool Grey/Wolf Grey/Black/Metallic Silver,$44.97 ,8.5,https://www.nike.com/t/downshifter-9-womens-running-shoe-NJV8Bd/AQ7486-004
Nike Downshifter 9,Women's Running Shoe,Shown: Cool Grey/Wolf Grey/Black/Metallic Silver,$44.97 ,9,https://www.nike.com/t/downshifter-9-womens-running-shoe-NJV8Bd/AQ7486-004
Nike Downshifter 9,Women's Running Shoe,Shown: Cool Grey/Wolf Grey/Black/Metallic Silver,$44.97 ,9.5,https://www.nike.com/t/downshifter-9-womens-running-shoe-NJV8Bd/AQ7486-004
Nike Downshifter 9,Women's Running Shoe,Shown: Cool Grey/Wolf Grey/Black/Metallic Silver,$44.97 ,10,https://www.nike.com/t/downshifter-9-womens-running-shoe-NJV8Bd/AQ7486-004
Nike Downshifter 9,Women's Running Shoe,Shown: Cool Grey/Wolf Grey/Black/Metallic Silver,$44.97 ,10.5,https://www.nike.com/t/downshifter-9-womens-running-shoe-NJV8Bd/AQ7486-004
Nike Downshifter 9,Women's Running Shoe,Shown: Cool Grey/Wolf Grey/Black/Metallic Silver,$44.97 ,11,https://www.nike.com/t/downshifter-9-womens-running-shoe-NJV8Bd/AQ7486-004
Nike Downshifter 9,Women's Running Shoe,Shown: Cool Grey/Wolf Grey/Black/Metallic Silver,$44.97 ,11.5,https://www.nike.com/t/downshifter-9-womens-running-shoe-NJV8Bd/AQ7486-004
Nike Downshifter 9,Women's Running Shoe,Shown: Cool Grey/Wolf Grey/Black/Metallic Silver,$44.97 ,12,https://www.nike.com/t/downshifter-9-womens-running-shoe-NJV8Bd/AQ7486-004
Nike Vaporfly 4% Flyknit,Running Shoe,Shown: Deep Royal Blue/Red Orbit/Black/Ghost Aqua,$187.97 ,M 3.5 / W 5,https://www.nike.com/t/vaporfly-4-flyknit-running-shoe-v7G3FB/AJ3857-400
Nike Vaporfly 4% Flyknit,Running Shoe,Shown: Deep Royal Blue/Red Orbit/Black/Ghost Aqua,$187.97 ,M 4 / W 5.5,https://www.nike.com/t/vaporfly-4-flyknit-running-shoe-v7G3FB/AJ3857-400
Nike Vaporfly 4% Flyknit,Running Shoe,Shown: Deep Royal Blue/Red Orbit/Black/Ghost Aqua,$187.97 ,M 4.5 / W 6,https://www.nike.com/t/vaporfly-4-flyknit-running-shoe-v7G3FB/AJ3857-400
Nike Vaporfly 4% Flyknit,Running Shoe,Shown: Deep Royal Blue/Red Orbit/Black/Ghost Aqua,$187.97 ,M 5 / W 6.5,https://www.nike.com/t/vaporfly-4-flyknit-running-shoe-v7G3FB/AJ3857-400
Nike Vaporfly 4% Flyknit,Running Shoe,Shown: Deep Royal Blue/Red Orbit/Black/Ghost Aqua,$187.97 ,M 5.5 / W 7,https://www.nike.com/t/vaporfly-4-flyknit-running-shoe-v7G3FB/AJ3857-400
